,text,sentiment,sentiment_label
109,eh gue mbkm entar kalo pas skripsi apa ya kiamat tolong serang,0,Netral
110,um nilai mbkm,5,Positif
111,yuk tunggu daftar salah brppupp palembang kkpgoid kkpthrive menterikkp saktiwahyutrenggono ekonomibiru magangbrppupp magang magangpalembang pkl teliti programmagang infomagang internship mbkm kkn,2,Positif
112,hi kak mobilisasi mbkm pakai kereta sebentar ya urgent dikit,-5,Negatif
113,entering july means entering my mbkm era alias sadar libur gue moabis,5,Positif
114,mbkm kak nya kontol,-5,Negatif
115,iya problem matkul input krs an subbag nilai input mbkm teliti gtsubbag yudisium foto ijazah salah gtsubbag,0,Netral
116,subbag akademik urus nilai mbkm kak urus yudisium,5,Positif
117,mjb kak kalo mbkm ikut kali mbkm ut kerjasama mitra mbkm msib magang stupen sih,2,Positif
118,nilai mbkm proses yudisium selesai ngurusnya mana ya um,12,Positif
119,wujud dukung bbpp batu program mbkm divisi ruminansia laksana uji presentasi mahasiswa pkl universitas tahan yuk simak informasi bbppbatu bppsdmp kementerianpertanian,16,Positif
120,mahasiswa program kampus merdeka gampang kerja program merdeka ajar kampus merdeka mbkm bukti efektif didik mahasiswa hadap dunia kerja pendidikankesehatan mahasiswa merdekabelajar via,15,Positif
121,kuliah kalo mbkm,1,Positif
122,kalo gantung prodi full konver banyak mbkm full konver kalo stupen kadang stupen kuliah kelar giat,7,Positif
123,uaf mahasiswa kkn padu nagari brastagi ujung gading pasaman barat ada minat tukar ganti slot program kkn gajadi kkn mbkm butuh banget,2,Positif
124,sesuai titik ya,4,Positif
125,anjir nad apkh lapor dpl soalna input nilai konversi mbkm,8,Positif
126,gabung bab ilmiah lapor mbkm lapor kampus selesai minggu,-3,Negatif
127,capek banget anjing mbkm relaynya error mulu kontol,-7,Negatif
128,gantung kalo makeup an sih mending skintint,-1,Negatif
129,gyoza nya ikhana enak banget repeat order lantai,6,Positif
130,mbkm konversi koin gacha ciputra ya dek,4,Positif
131,mice microteaching kayak nilai mbkm kayae mme ais salah input deh,-2,Negatif
132,um anak pendmat kemarin mbkm teliti nilai mbkm muncul ya,7,Positif
133,daftar mbkm tala,1,Positif
134,unit anti halu kali ya,-2,Negatif
135,ngl konsep aespa bagus,2,Positif
136,rill nel wajib mbkm,-2,Negatif
137,hasil riset mahasiswa mbkm mudah kerja program merdekabelajar kampusmerdeka mbkm salah bentuk upaya transformasi didik cetak sumber daya manusia sdm unggul kualitas pasal,16,Positif
138,joki tugas t lapor msib mbkm kampus merdeka studi independen stupen studin report study,5,Positif
139,minggu giat sosialisasi latih tema kembang usaha bas digital desa ngombakan giat selenggara tim hibah mbkm uns loh baca lengkap,15,Positif
140,selamat sore admin tarik sponsor proyek mbkm nama proyek bangun desa tema cegah nikah anak terimakasih,15,Positif
141,buka mlg ya nder abistu,7,Positif
142,ya allah anak prasmul tau mbkm senjang sosial,7,Positif
143,tahun jam gin hectic pol gara-gara paper matkul ku selesaiin pdahl kompre mbkm turnitin gila gilee minggu full ndekem ng kamar kos,-5,Negatif
144,semester mbkm nesa,0,Netral
145,tara mbkm muncul nilai mutu ipbm tuh butuh ya,10,Positif
146,gue uas konversi mbkm jir adek lu kesmas teman kelompok kkn gue kesmas kemarin uas jir gue ngelab gara-gara preparasi sampel skripsi,-15,Negatif
147,polemik program mbkm,3,Positif
148,gws mbkm,2,Positif
149,list order paper lapor mbkm yuk dibantuin tugas banget langsung wa jokiskripsi jokitugas jokitugaskuliah jokippt zonauang,9,Positif
150,temenku smt kemarin ambil sih pas ambil dpa ku takut bagi mbkm ku surabaya,-4,Negatif
151,nesa benar smstr smstr wajib mbkm ya ambil sks tambah ya akses krs tutup gais huhu terima,8,Positif
152,simak program mbkm wajib siswa mahasiswa asing istilah mbkm bingung mbkm mbkm,4,Positif
153,mbkm anggap,0,Netral
154,gue semester mbkm lantai ws jadwal jam anjir untung kelas amp selesai kelas suasana seram sih pas jam an kadang lampu dimatiin pas kelas gelap banget,7,Positif
155,ok gue got ta admit habis mbkm pulang jam seram,-3,Negatif
156,cinta konversi mbkm,3,Positif
157,pantau kkn mbkm susul kelompok hehe,-3,Negatif
158,maksimal laksana program mbkm eakademik ecampuz info,0,Netral
159,kenal beda mbkm flagship mbkm mandiri taut,0,Netral
160,libat mahasiswa aktor pater djp menteri didik budaya riset teknologi kolaborasi laksana integrasi program renjani merdeka ajar kampus merdeka mbkm mandiri,4,Positif
161,iisma susah tuh konversi mbkm,-3,Negatif
162,mbkm ya,4,Positif
163,mbkm rindu teman kelas mana diri melebarkam jangkau biar mudah tugas semester full masuk kelas,-4,Negatif
164,san lolos mbkm,-4,Negatif
165,lomba mbkm dll man how can manage that,-1,Negatif
166,kelas mbkm fbsb alias ws rendra kelas maghrib kelar kelas isya kelas lantai turun tangga lift kayak turun lampu lantai dimatiin aman,-8,Negatif
167,mbkm kayak ya beda gaji semangat,3,Positif
168,cerita adek tips n tricks survive kuliah versi kuat diomelin jam kelas daftar mbkm ya tipe orang diomelin my dad,12,Positif
169,war dosen kaprodi perkara workshop mbkm lanjut,-2,Negatif
170,shout out capek magang mulu kayak budak mbkm,7,Positif
171,kangen takoyaki bangil,3,Positif
172,we kampus ajar prodi suruh daftar web mbkm usu akun situ ya we angkat mbkm kayak,4,Positif
173,lucu banget akun tiktok nya sandy ok discroll isiny langsung fancam konser ive kayak yaelah kalo tayang coc tauny oh fanboy dive,11,Positif
174,konversi mbkm kak,0,Netral
175,informasi pangkal data pustipd lpm uinsa komitmen dukung laksana program mbkm manfaat maksimal mahasiswa koordinasi efektif sinergi antarunit harap program laksana,20,Positif
176,koordinasi laksana program merdeka ajar kampus merdeka mbkm semester wib zoom meeting giat koordinasi lpm uinsa undang pimpin wakil unit kait plh rektor kepala biro administrasi,2,Positif
177,fpk report satu persepsi fpk hadir undang lpm uinsa koordinasi laksana mbkm semester surabaya rangka satu persepsi lembaga jamin mutu universitas islam negeri sunan ampel surabaya lpm uinsa adakan giat,11,Positif
178,universitas didik ganesha undiksha singaraja bal kolaborasi universitas negeri semarang unnes rangka optimal laksana program merdeka belajarkampus merdeka mbkm mandiri,0,Netral
179,djp menteri didik budaya riset teknologi kolaborasi laksana integrasi program renjani merdeka ajar kampus merdeka mbkm mandiri,4,Positif
180,sumpah makan bareng teman cowok gue pas mbkm makan doang ya butuh makan dua pasang sok please be wise and mature,14,Positif
181,konversi mbkm kayak tahi,-8,Negatif
182,gue tunggutunggu ya mumpung mengebugebu kalo suruh revisi gue tunggu tunggu tuju deh minggu pas tari mahasiswa suruh absen bang buka mbkm revisi mood gue,13,Positif
183,moga otak anak lu kayak otak udang gue ya jujur gue revisi malam lihat mbkm suruh revisi malesnya gue gue ngumpulin lapor lapor hari sedang lapor acc,10,Positif
184,techbros kayak ternak usaha gede google program bangkit program mbkm tepat studi independen sertifikat isi ratarata learning track kominfo program dts menteri gelar ssos,10,Positif
185,surat edar program mbkm lainlain hai sobat math informasi surat edar program mbkm lainlain pamflet atas ya departemen advokasi sejahtera mahasiswa himatika angkasa,10,Positif
186,ih gmc pas mbkm libur buka ya allah minim informasi banget,18,Positif
187,kalo tau jurus sehat mbkm pilih jurus,-2,Negatif
188,mbkm unmed alhamdulillah senioritas,5,Positif
189,pad teliti butuh responden mahasiswa unpad angkat laksana mbkm isi kuesioner academic anxiety mahasiswa mbkm unpad reward uang elektronik responden ter,0,Netral
190,kalo menteri ganti mbkm hapus,0,Netral
191,we plis tolonk nilai dek semester ganjil konversi giat mbkm ya hitung ngulang ya guys,19,Positif
192,isi kelompok mbkm gua kentut,-8,Negatif
193,magang mbkmkknmagang mandiri,-3,Negatif
194,aduh sayang begitu apa,1,Positif
195,uny war nder wkwk war mbkm,0,Netral
196,hadeeh hidup gua ya jadi gua mbkm,1,Positif
197,ipk gue aco sih kampus konversi kalo mbkm,0,Netral
198,gue pengin mbkm jogja anjerlah kampus gue pilih,-2,Negatif
199,seru poll jurus ya santai banget dosen asa teman masuk sec acc oiyaa coba magang mbkm deh sems kemarin magang kemendikbud konversi sks libur minggu,17,Positif
200,lebay kating lu gila asih sembah baik momentum uas kepala pikir panitia tanggung ormawa mbkm jaman tuh gakena sakit syukur anjir,7,Positif
201,langsung tara mbkm,5,Positif
202,guru mbkm sungguh aja keras guru rekognisi alam ajar kampus nila sks sks alam ajar prodi jelang rezim pt bingung,23,Positif
203,banget didik sih jurus pacar mbkm lawfirm bagus gila pintar banget stres lihat moga ngimbangin,12,Positif
204,manterinya jual mbkm promosi tim bayang bantu,2,Positif
205,ssos manterinya mankominfo korup mancash jalur bankir stetoskop unscientific manristekdikti usaha ojek jual kurikulum mbkm amp promosi tim bayang,-9,Negatif
206,sem osjur biar kenal masuk hima ganya bebas sih smt ukm panitia smt kalo program mbkm ambil mbkm smt sih kayak semangat ya,0,Netral
207,convert hls kalo tuju biar mutu tara mbkm langsung kah dengar koordinasi orang prodi ya pliss tau,15,Positif
208,papa coba tau akrab ambil matkul mbkm teman kenal beraniin kenal teman kalem,6,Positif
209,sosialisasi mbkm tanggal ya hiks pengin pulang,0,Netral
210,salah mbkm konversi nek koe gamelu yowes nyinyir pakai krasa kampus kalo guru jelasin benefit e program kemendikbud konversi nama mbkm prespektif amp tuju orang beda beda,-6,Negatif
211,kalo pengin jalur kampus yauda rasa makna nya abdi nya imo kalo ngejar benefit amp pintar manfaatin peluang salah program mbkm program dana kayak pkm pmw dll untung konversi cepat nyusun skripsi,-2,Negatif
212,mbkm ngejar konversi e jir benefit beda kampus contoh kkn pakai sangon kampus sih beli bensin bulan deh habis porgram bbh minimal nalangin proker masuk cv,-7,Negatif
213,marah banget anjing prodi gue ngotak blass tugas arek reguler semester suruh kerjain anak mbkm tok kerjain hari huft pakai t banget coy,-19,Negatif
214,jujur iri lihat teman giat mbkm konversi kkn rasai kkn teman asik poll strategis syukur banget,14,Positif
215,mbkm gue deh kelar senang sdih ya kenang drama ajg banget muak kena mental,4,Positif
216,buset deh,0,Netral
217,undiksha universitas negeri semarang optimal mbkm mandiri,-3,Negatif
218,gua kenal kopi goba magang mbkm sem jual jalan kali gua orang jual kopi kaki pakai cartgerobak merknya kayak langsung kepo besok langsung coba,6,Positif
219,mbkm deh kelarr magang sisa bulan yuk yuk,3,Positif
220,adek gue semester straight a bjir wak konversi mbkm bjir yes he is informatics student telyu bjirr,4,Positif
221,genuine asking ya daftar beasiswa semester mbkm,5,Positif
222,apasik,0,Netral
223,halo sobatrbpn sultra simak yuk giat kakanwil bpn provinsi sulawesi tenggara kunjung kantor tanah kab kolaka rangka tinjau kesiap kan kolaka mrmbangun zi lepas mahasiswa mbkm usn kolaka,9,Positif
224,mndg mbkm poll suibukk jam berangkat jam set pulang jam ajar les jam ajar aji apa banget anjir pulang pulang jam sek santai drpda kkn rutinitas karu karuan,-2,Negatif
225,ut halo kakakkakak ut share alam mbkm ut bingung,3,Positif
226,program mbkm konversi sidang,1,Positif
227,mbkm kah,0,Netral
228,hahahhaha ribet administrasi nya magang mbkm sih dil kp kalo ft,-4,Negatif
229,kesi rps ulang smngt ya moga cepat uji mbkm kea moga besok jam heheheheheh,7,Positif
230,halloo mbkm brin kirim proposall ya kalo tanyaa bolee,6,Positif
231,selamat si mbkm sayangkuu,5,Positif
232,setarain tara mbkm,2,Positif
233,mahasiswa sastra inggris utm ilmu mbkm jprm,6,Positif
234,bikin versi terima mbkm,2,Positif
235,mbkm anjim,0,Netral
236,hai sobatani bsip lingkung tani buka peluang magang adikadik mahasiswa smasmk derajat ajar tani video giat lapang mahasiswa ugm magang mbkm bsip lingtan simak ya,22,Positif
237,ohyaa tau pas kuliah program perintah kayak mbkm coba pmm sih tukar mahasiswa merdeka worth banget cari teman nusantara,-2,Negatif
238,ketemu semester mbkm asa asing,4,Positif
239,mood ih ngapa sih mbkm,2,Positif
240,iya kak sertifnya unduh dashboard platform mbkm ya kak,4,Positif
241,pintar sih demam nya mbkm selesai gue pusing bgg anjrit,-2,Negatif
242,halo kak izin dm mbkm brin boleeh,-3,Negatif
243,fwa mbkm,0,Netral
244,bom kelar kelas mbkm sangka kuliah asa double degree matkul kampus stupen mbkm tugas nauzubillah tambah sempro we ve come sok far faa,10,Positif
245,magang industri program mbkm ran,0,Netral
246,this harusmya jelas cowokcewek ditrmpat kkn ngehandle pacar biar rusuh bjir iya nama pepet buru buru acara ya kadang paksa ya ribet banget mendding suruh mbkm anjir biar kkn,6,Positif
247,transfer kredit internasional program merdeka ajar kampus merdeka mbkm proses giat ajar program studi guru negeri,10,Positif
248,duh kdd coba pagi cari diig mbkmulm pina post an nya kdd coba ig ig bem deh,-2,Negatif
249,uyy surat putus rektor rekognisi giat mbkmpkmpimnas kahh tia,8,Positif
250,still dont get the point why we still have pay ukt full iismambkm oklah pertahanin status aktif kampus ambil kelas kuliahgak rasa fasilitas kampus,-7,Negatif
251,giat sampai rencana giat mbkm pulau kongsi rabu,4,Positif
252,numpang ya nder program mbkm magang tempat kerja ya,7,Positif
253,rencana packing sks tugas mbkm kerja yaallah gue packing,3,Positif
254,sih muk mbkm,0,Netral
255,linklink website website mbkm mitra kbbi artikel canva wkwk,-2,Negatif
256,seminar mbkm,0,Netral
257,clutchh momen ilham gaming mbkm,0,Netral
258,sobatbahari bppsdmkp upaya tingkat kualitas didik vokasi lulus terjun dunia kerja salah satu program merdeka ajar kampus merdeka mbkm unggul kkpbeyond sdmkp sdmunggul,18,Positif
259,mbkm unggul upaya optimal guna fasilitas infrastruktur milik kkpbeyond sdmkp sdmunggul ekonomibiru menujuoii pendidikankp,5,Positif
260,kalimat keramat aju editor video paling semester aju menuhin portfolio video editor biar lolos mbkm wkwk dah,-18,Negatif
261,berat mbkm drpda kkn anjir berat kkn anjir,2,Positif
262,mbkm nya mumet,-4,Negatif
263,mbkm tahi anjg,-10,Negatif
264,huru hara mbkm,0,Netral
265,tugas bekal kkn mbkm gue capek banget anjeng entar data desa guepengenngehyperiize,-1,Negatif
266,mbkm offering ya,4,Positif
267,gantung prodi sih kaya banyak smt prodi gue smesterr sibuk mbkm smgt ricc,6,Positif
268,bilang wkwkw ttd dosen mbkm,0,Netral
269,selamat smbkm msib ltlt,5,Positif
270,anak ku mbkm banda neira sangar banget,-2,Negatif
271,tema neurosains mbkm orang self respect,0,Netral
272,um tau nomor nanang satgas mbkm fs,-4,Negatif
273,pikir pilih sekolah mbkm mama sakit lupa,2,Positif
274,minn butuh banget info mbkm,-7,Negatif
275,halo teman info mbkm join sharing sessionnya psdk ya besok banget nih lupaa catet jam info cek ig psdk ugmfess,0,Netral
276,juli sih magang agust des mbkm,0,Netral
277,ah magang kali embel nyantumin organisasi magang mandiri join magang mbkm,1,Positif
278,lo introvert malas bersosisalisasi orang lo ikut mbkm bangun desa giat dominan ketemu orang orang,-3,Negatif
279,lanjut mbkm evaluasi kembang bijak dasar hasil evaluasi opini kompas,8,Positif
280,lanjut mbkm evaluasi kembang bijak dasar hasil evaluasi opini kompas multimediamencerahkan,8,Positif
281,selasa tanggal juni bsip lingkung tani gelar seminar hasil magang program merdeka ajar kampus merdeka mbkm universitas negeri semarang magang kerja smk alfa wong,4,Positif
282,amanlaah mbkm,0,Netral
283,aura leadernim nya yeokshi baksu,0,Netral
284,presentasi project dosen wali bikin lapor mbkm jurus bikin lapor mbkm website mbkm seminar hasil project mbkm ngelengkapin dokumen sks mbkm ngelengkapin dokumen kp uji semester matkul,5,Positif
285,matkul sisa tunggu tukeran mbkm,-3,Negatif
286,lihat web mbkm nya kalo salah juli kak kalo salah ya salah kak,-5,Negatif
287,senin psdku pnup kolaka sesi total serta utbk libat awas awas ruang pnupahlinyavokasi vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar,7,Positif
288,bikin gue heran curang tuh anak alias anak mbkm bisa curang pas uji kampus plis lu bawa nama kampus lu anjir lu pilih loh seleksi duduk ih tolol mikir ya,-7,Negatif
289,bangkai terima kasih ye,0,Netral
290,menyalaa miaw ku,0,Netral
291,nikmat duniawi gue dusta kalo buka hp tl gue wangi penuh cowok tampan pesona cokiber,14,Positif
292,definisi foto kamu ss simpan kali cetak jadi wallpaper lockscreen pfftt,4,Positif
293,kadek wirahyuni spd mpd masuk evaluasi kurikulum mbkm fe unud,-3,Negatif
294,versi ospek latih upmb dikaderngader panit lomba ngader budak hima mbkm intern hilang intern mbkm hilang kampusisinya insyaallah sidang,16,Positif
295,kunjung industri mahasiswa prodi t elektro kelas jur t elektro pabrik gula pt makassar tene pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup kurikulummerdeka merdekabelajar politekniknegeriujungpandang,0,Netral
296,koordinator mbkm prodi gue ya belio informatif banget coba positif thinking abru bingung balesannya nyepetii banget coy yaallah ya alhamdulillah sih dibales balesannya gue,20,Positif
297,senin sesi total serta utbk libat awas ruang pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar,3,Positif
298,minggu sesi total serta utbk libat awas ruang pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar,3,Positif
299,sabtu sesi total serta utbk libat awas ruang pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar,3,Positif
300,jumat sesi total serta utbk libat awas ruang pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar,5,Positif
301,smb pnup catat daftar uji utbk juni pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka merdekabelajar pembelajaranberkualitasbagisemua,2,Positif
302,plss menariikk join semester langsung biar join mbkm semester biar semester langsung skripsi,10,Positif
303,sedih sedank lewat sempat panitia fwek lu mbkm,0,Netral
304,mbkm bikin begadang jam huftt,-3,Negatif
305,halo ada isi survey praktisi ajar mbkm izin,4,Positif
306,gua ngumpulin proposal skripsi jurnal mbkm bjir,-3,Negatif
307,kak mbkm ya kak beru kali tau,0,Netral
308,coba cek wa chat masuk ut tuh mbkm,-2,Negatif
309,jendela advo umum mahasiswa lolos seleksi mbkm magang halo sahabat psikologi informasi kait mahasiswa psikologi lulus program mbkm magang lewat ya,16,Positif
